"ID1","ID2","HRO","relatedness","kintype","parent_offspring","agediff","yrsoverlap","adult_yrsoverlap","joint_sightings"
"ID094","ID147",0.536191167332069,NA,"no data","N",11,13,8,134
"ID080","ID147",0.350080856018518,0,"unrelated","N",6,10,10,110
"ID147","ID080",0.350080856018518,0,"unrelated","N",6,10,10,110
"ID036","ID147",0.793458976925829,0,"unrelated","N",11,13,7,151
"ID147","ID036",0.793458976925829,0,"unrelated","N",11,13,7,151
"ID168","ID147",0.1917342433814,NA,"no data","N",4,7,7,58
"ID147","ID168",0.1917342433814,NA,"no data","N",4,7,7,58
"ID081","ID147",0.630259329652363,0.0745,"distant","N",14,11,11,126
"ID147","ID081",0.630259329652363,0.0745,"distant","N",14,11,11,126
"ID147","ID072",0.225869381249959,0,"unrelated","N",4,10,10,106
"ID072","ID147",0.225869381249959,0,"unrelated","N",4,10,10,106
"ID147","ID037",0.214738238986303,0,"unrelated","N",7,10,8,108
"ID037","ID147",0.214738238986303,0,"unrelated","N",7,10,8,108
"ID137","ID147",0.766383592531837,0,"unrelated","N",3,11,11,243
"ID147","ID137",0.766383592531837,0,"unrelated","N",3,11,11,243
"ID147","ID055",0.40598830009278,0,"unrelated","N",2,13,13,139
"ID055","ID147",0.40598830009278,0,"unrelated","N",2,13,13,139
"ID147","ID114",0.950979633563075,0.0018,"unrelated","N",3,13,13,263
"ID114","ID147",0.950979633563075,0.0018,"unrelated","N",3,13,13,263
"ID147","ID060",0.401835243766868,NA,"no data","N",12,6,6,57
"ID060","ID147",0.401835243766868,NA,"no data","N",12,6,6,57
"ID152","ID147",0.116991769088772,0,"unrelated","N",1,13,13,136
"ID147","ID152",0.116991769088772,0,"unrelated","N",1,13,13,136
"ID082","ID147",0.312831640841613,NA,"no data","N",8,4,1,30
"ID147","ID082",0.312831640841613,NA,"no data","N",8,4,1,30
"ID112","ID147",0.695199358098709,0.0299,"unrelated","N",0,13,13,168
"ID147","ID112",0.695199358098709,0.0299,"unrelated","N",0,13,13,168
"ID031","ID147",0.692320457693753,0.0144,"unrelated","N",19,5,NA,124
"ID147","ID031",0.692320457693753,0.0144,"unrelated","N",19,5,NA,124
"ID147","ID163",0.510698858895486,0,"unrelated","N",0,13,13,137
"ID163","ID147",0.510698858895486,0,"unrelated","N",0,13,13,137
"ID147","ID155",0.541756153924676,NA,"no data","N",19,5,5,40
"ID155","ID147",0.541756153924676,NA,"no data","N",19,5,5,40
"ID147","ID113",0.575868671371694,0,"unrelated","N",11,12,7,135
"ID113","ID147",0.575868671371694,0,"unrelated","N",11,12,7,135
"ID117","ID147",0.749349794671601,0,"unrelated","N",12,12,12,235
"ID147","ID117",0.749349794671601,0,"unrelated","N",12,12,12,235
"ID095","ID147",0.0969600028554113,0,"unrelated","N",1,13,13,143
"ID147","ID095",0.0969600028554113,0,"unrelated","N",1,13,13,143
"ID160","ID147",0.256825179471796,0,"unrelated","N",4,13,13,145
"ID147","ID160",0.256825179471796,0,"unrelated","N",4,13,13,145
"ID011","ID147",0.264523399946353,0,"unrelated","N",1,13,13,134
"ID147","ID011",0.264523399946353,0,"unrelated","N",1,13,13,134
"ID103","ID147",0.15166045224482,0,"unrelated","N",8,13,13,138
"ID147","ID103",0.15166045224482,0,"unrelated","N",8,13,13,138
"ID147","ID053",0.622916917993444,0.2467,"paternal","N",9,13,9,155
"ID053","ID147",0.622916917993444,0.2467,"paternal","N",9,13,9,155
"ID050","ID147",0.429288178701129,0,"unrelated","N",11,12,7,135
"ID147","ID050",0.429288178701129,0,"unrelated","N",11,12,7,135
"ID139","ID147",0.429345215584874,0,"unrelated","N",11,13,7,130
"ID147","ID139",0.429345215584874,0,"unrelated","N",11,13,7,130
"ID170","ID147",0.311451711491134,0,"unrelated","N",5,12,12,129
"ID147","ID170",0.311451711491134,0,"unrelated","N",5,12,12,129
"ID147","ID106",0.658122206316675,NA,"no data","N",20,8,8,70
"ID106","ID147",0.658122206316675,NA,"no data","N",20,8,8,70
"ID091","ID147",0.897675302546821,0.0019,"unrelated","N",15,11,3,164
"ID147","ID091",0.897675302546821,0.0019,"unrelated","N",15,11,3,164
"ID147","ID062",0.689701048711615,0.0845,"paternal","N",18,7,NA,155
"ID062","ID147",0.689701048711615,0.0845,"paternal","N",18,7,NA,155
"ID147","ID046",0.670718953998735,0,"unrelated","N",7,9,9,99
"ID046","ID147",0.670718953998735,0,"unrelated","N",7,9,9,99
"ID147","ID173",0.14131448712504,0,"unrelated","N",3,13,13,147
"ID173","ID147",0.14131448712504,0,"unrelated","N",3,13,13,147
"ID035","ID147",0.416927195859197,0.034,"unrelated","N",6,13,12,168
"ID147","ID035",0.416927195859197,0.034,"unrelated","N",6,13,12,168
