"Observation.ID","Date","Dolphin.ID","Age"
18686,2012-10-20,"ID125",12
18686,2012-10-20,"ID049",12
19420,2013-11-10,"ID097",41
19420,2013-11-10,"ID090",16
19420,2013-11-10,"ID102",22
19420,2013-11-10,"ID056",17
19420,2013-11-10,"ID175",14
19420,2013-11-10,"ID124",23
20297,2014-12-28,"ID112",23
20828,2015-07-01,"ID153",8
20828,2015-07-01,"ID110",10
20828,2015-07-01,"ID105",18
20828,2015-07-01,"ID162",7
20828,2015-07-01,"ID020",23
20846,2015-07-02,"ID059",4
20846,2015-07-02,"ID087",17
20846,2015-07-02,"ID151",4
20846,2015-07-02,"ID064",12
20846,2015-07-02,"ID153",8
20846,2015-07-02,"ID013",25
20846,2015-07-02,"ID130",31
20846,2015-07-02,"ID162",7
20846,2015-07-02,"ID008",18
20846,2015-07-02,"ID036",13
20846,2015-07-02,"ID091",9
20846,2015-07-02,"ID084",15
20846,2015-07-02,"ID150",17
20846,2015-07-02,"ID049",15
20923,2015-07-29,"ID135",15
21427,2015-10-28,"ID137",21
21592,2016-05-19,"ID102",25
21592,2016-05-19,"ID095",26
21592,2016-05-19,"ID128",6
22727,2018-05-31,"ID086",14
22727,2018-05-31,"ID061",12
17070,2009-07-31,"ID108",13
17070,2009-07-31,"ID041",30
18026,2011-09-15,"ID134",21
19761,2014-07-04,"ID121",21
19930,2014-09-10,"ID132",39
19950,2014-09-19,"ID132",39
19950,2014-09-19,"ID020",22
19950,2014-09-19,"ID063",38
19950,2014-09-19,"ID137",20
21065,2015-08-19,"ID117",36
22342,2017-07-07,"ID059",6
22342,2017-07-07,"ID087",19
22342,2017-07-07,"ID064",14
22342,2017-07-07,"ID171",15
22342,2017-07-07,"ID162",9
22342,2017-07-07,"ID114",23
22342,2017-07-07,"ID150",19
25757,2019-07-17,"ID079",20
16343,2007-06-16,"ID098",9
16432,2007-07-18,"ID078",26
16696,2008-07-25,"ID143",10
16696,2008-07-25,"ID052",14
17046,2009-07-23,"ID117",30
17075,2009-08-01,"ID118",22
